number,value,model.hidden_dim,model.num_layers,model.num_gc_layers,model.dropout,training.learning_rate,training.weight_decay,duration_seconds
9,0.8842341552178065,128,3,3,0.29062357079507495,0.0014497013503334496,3.3357723515383763e-06,21282.326814
6,0.8931900014479955,256,3,3,0.4547801105337867,0.0024533351615606673,4.4662526484920066e-05,1127.663696
1,0.9186805337667465,128,3,3,0.31828246258391213,0.000983377845984552,4.145786306534808e-06,1089.393884
2,0.9961092124382654,128,1,2,0.30371341257866524,0.0012531185231490368,7.4708546845194585e-06,411.212586
3,1.0080172717571259,128,2,2,0.2851047229922564,0.002505880930237049,3.977414984749317e-06,732.202876
7,1.0203979710737865,128,1,2,0.33008444680303606,0.004074101714813703,7.243328123936664e-06,2116.774502
0,1.0770844916502635,128,2,1,0.3070135445154974,0.0007492748560490418,3.733195205360305e-05,683.703063
8,1.0784021317958832,128,3,1,0.4731920277683604,0.003598521432346467,4.355229169064537e-06,17159.952339
5,1.0791784922281902,128,3,1,0.4083190973190533,0.0013081672324962118,1.2252996365207566e-05,898.976488
4,1.0792898337046306,256,3,1,0.29534906324953364,0.0029657842011070247,9.473821364849172e-06,570.242841
